month,category,Volume
2025-05-01 00:00:00,Economics,52900322
2025-05-01 00:00:00,Mentions,977797
2024-02-01 00:00:00,Financials,13162851
2021-09-01 00:00:00,Climate and Weather,653566
2024-03-01 00:00:00,Transportation,87226
2024-08-01 00:00:00,Climate and Weather,2228426
2022-04-01 00:00:00,Science and Technology,1553
2022-05-01 00:00:00,Transportation,31555
2025-07-01 00:00:00,Transportation,110255
2026-04-01 00:00:00,Sports,9909934622.470001
2021-10-01 00:00:00,Economics,81548
2021-12-01 00:00:00,Entertainment,38797
2023-02-01 00:00:00,Transportation,19914
2024-05-01 00:00:00,Health,17237
2025-02-01 00:00:00,Science and Technology,2396673
2025-01-01 00:00:00,Entertainment,17967467
2023-01-01 00:00:00,Politics,423864
2023-09-01 00:00:00,Companies,3839
2024-11-01 00:00:00,Crypto,68643529
2021-08-01 00:00:00,World,688092
2024-11-01 00:00:00,Politics,698430291
2021-10-01 00:00:00,Politics,530787
2025-11-01 00:00:00,Health,701092
2022-05-01 00:00:00,Economics,1013913
2026-02-01 00:00:00,Social,1752309
2023-01-01 00:00:00,Economics,903086
2024-01-01 00:00:00,Entertainment,530927
2023-09-01 00:00:00,Climate and Weather,635983
2026-03-01 00:00:00,Social,2766147
2022-10-01 00:00:00,Entertainment,0
2024-01-01 00:00:00,Economics,2670738
2025-04-01 00:00:00,Transportation,44026
2023-06-01 00:00:00,Politics,810620
2025-08-01 00:00:00,Companies,2390155
2025-07-01 00:00:00,Economics,59183986
2021-10-01 00:00:00,Transportation,112248
2025-02-01 00:00:00,Sports,36982301
2024-11-01 00:00:00,Financials,10631540
2024-02-01 00:00:00,Companies,102857
2026-04-01 00:00:00,Unknown,435689631.110001
2025-10-01 00:00:00,Climate and Weather,25098867
2024-09-01 00:00:00,Health,25668
2022-06-01 00:00:00,Politics,491539
2022-09-01 00:00:00,World,6472
2022-11-01 00:00:00,Science and Technology,3288
2023-09-01 00:00:00,Financials,13966675
2023-10-01 00:00:00,Health,27760
2023-01-01 00:00:00,Climate and Weather,646141
2023-10-01 00:00:00,Companies,2944
2024-11-01 00:00:00,Companies,1168142
2026-01-01 00:00:00,Sports,8519500734
2024-08-01 00:00:00,Economics,4712265
2026-02-01 00:00:00,Climate and Weather,91148612
2025-11-01 00:00:00,Education,107
2026-04-01 00:00:00,Transportation,40
2025-02-01 00:00:00,World,941280
